,query_id,id
0,2,666
1,2,667
2,2,1258
3,2,1394
4,2,668
5,2,670
6,2,1204
7,2,1391
8,2,1395
9,2,1300
10,2,37
11,2,559
12,2,630
13,2,1107
14,2,1213
15,3,24
16,3,101
17,3,666
18,3,667
19,3,93
20,3,1258
21,3,1393
22,3,559
23,3,630
24,3,662
25,3,1104
26,3,1107
27,3,1204
28,3,1213
29,3,1300
30,4,1391
31,4,666
32,4,667
33,4,1258
34,4,1078
35,4,1080
36,4,1081
37,4,1394
38,4,1395
39,4,1214
40,4,1198
41,4,1204
42,4,1300
43,4,559
44,4,630
45,4,662
46,4,1107
47,4,1213
48,5,1383
49,5,1385
50,5,155
51,5,241
52,5,1382
53,5,1370
54,5,1386
55,5,111
56,5,1384
57,5,150
58,5,292
59,5,458
60,5,479
61,5,977
62,5,376
63,5,459
64,5,1365
65,5,62
66,5,1366
67,6,155
68,6,1383
69,6,1385
70,6,1382
71,6,62
72,6,292
73,6,241
74,6,1370
75,6,1384
76,6,458
77,6,459
78,6,461
79,6,1386
80,6,1365
81,6,1366
82,6,111
83,6,150
84,6,479
85,7,400
86,7,419
87,7,1387
88,7,412
89,7,1392
90,7,1398
91,7,1397
92,7,1400
93,7,1399
94,8,400
95,8,1387
96,8,1392
97,8,1398
98,9,656
99,9,1313
100,9,1317
101,9,1316
102,9,1318
103,9,1319
104,9,1157
105,9,1274
106,10,1379
107,10,1305
108,10,1304
109,10,40
110,10,293
111,10,1309
112,10,161
113,10,421
114,10,1377
115,10,1378
116,10,1381
117,10,225
118,10,1380
119,10,448
120,10,449
121,10,1124
122,10,1280
123,10,433
124,10,923
125,10,924
126,10,1062
127,10,1074
128,10,1075
129,10,1213
